name	manufacturer	model	area	integrations	disabled_by	sw_version	device_id
ha-floorplan 🖌🎨 | Your imagination (almost) defines the limits	ExperienceLovelace	plugin		hacs			b8a5b3a91710770b830c523333751bcd
iPhone (32)	Apple	iPhone12,1		mobile_app		26.6.2	529526ab24ff4b30e8738a51a84e11a2
keymaster	FutureTense, firstof9, raman325	integration		hacs			81719265e14586dbbb045c4ccbecc23a
landing-blind	Espressif	esp32-c3-devkitm-1	Loft	esphome		2025.2.0 (Feb 23 2025, 18:58:16)	853378c3f641920b9579bd503c173f7e
loft-blind	Espressif	esp01_1m		esphome		2025.3.2 (Mar 28 2025, 15:53:16)	3173bb56b76d7f4671c1dd8378a72ac7
loft32 (94:3C:C6:37:67:86)	Espressif Inc. (esphome)	esp32dev	Study	bluetooth			9438ab0042bae5a615c37722ebad7730
mini-graph-card	kalkih	plugin		hacs			e621bd8cf97ba1e45fba9887204bfbe7
mm iphone	Apple	iPhone12,1		mobile_app		16.6.1	79ca95952c27210120709f9211a7f0ab
more-info-card	thomasloven	plugin		hacs			ca2b618279f89c6efeadb36811e49e7c
nMudiki	Nuki	SmartLock		mqtt		3.10.7	d2a03a6df70b6b1ee432577556fdde5b
nMukuru	Nuki	SmartLock		mqtt		5.6.9	643eafc4a2ffd23de2ebc85621aa89b1
nMukuru	Nuki	Smart Lock Pro		mqtt			f05cae271326759cf19bc3456472e406
nMukuru	Nuki	SmartLock		mqtt		5.9.4	c5bfed8b18686a354459b2498e2c25fd
nMukuru	Nuki	Smart Lock Pro		mqtt			9d7160f4e11cc0f96678c9a9d5ccf441
nuki_mudiki	Technyon	Nuki Hub		mqtt		9.14	3a86b730f528ce3ad7d5b44f55b55a02
nukihub	Technyon	NukiHub		mqtt		9.06	6e00b620ade4eb1250d355d6e1cab571
octopus-energy-rates-card	lozzd	plugin		hacs			14c8d59be2876292e359544ceb45e137
patio lights	SONOFF	MINI		sonoff		3.6.0	3eb3024867025196119cbbc13ec66faf
pres-e	SONOFF	SNZB-06P	Ellies Bedroom	zha		0x00001006	6a04034820a54c620d89279531a41ca2
pres-h	SONOFF	SNZB-06P	Hannahs Bedroom	zha		0x00001006	9a35dcbe0b74e2fb070197c38fa85564
pres-l	SONOFF	SNZB-06P	Loft Suite	zha		0x00001006	0ad0e6ee5c9b3bf6abc70621a0b83196
rpi_rebooter	Espressif	wemos_d1_mini32	Hallway	esphome		2025.10.5 (Nov 13 2025, 19:53:13)	c07ca15245372534db168e898ecbed81
study presence	Espressif	esp01_1m	Study	esphome		2023.12.5 (Jan  9 2024, 11:24:20)	8fb5730a6cb28802e8fd8bc19c141a75
swings	Arlo	VMC5040	Garden	aarlo		0.8.1.18	8baa26fd8027a532cbb4b9962b0f73cb
template-entity-row	thomasloven	plugin		hacs			196fa713e3a3c74199b0b62f5be4fd91
tojgan bright	Signify Netherlands B.V.	Hue Bridge	Garage	hue		1.78.1978293000	19a03db71128268736291848e5bbfacd
tojgan-solar Total	Growatt		Garage	growatt_server_api			b5995b297cca9a8f9b25cf403be78294
tojgarln	Arlo	VMB5000	Garden	aarlo		0.8.1.18	d5dbb590a0155a4114b8985bb3d6c388
tongai-mbp	Apple	MacBookPro18,3		mobile_app		14.5.0	ffc13ce7af916b22042a700bbc998b60
tongai-mbp (2)	Apple	MacBookPro18,3		mobile_app		15.4.1	6bd32e66b143bad3cf9ff9ea311fccc8
tongai-mbp_work	Apple	MacBookPro18,3		mobile_app		26.5.1	7d381af5739a0804b1141afe1e046d38
tongai22	samsung	SM-S901B		mobile_app		34	77d488c030c011b8db29e310f50bf600
work status	Espressif	esp32dev	Study	esphome		2025.10.5 (Nov 14 2025, 13:15:42)	b7d04c3a5960596934fb9c7f4c2dbd7e
zhub-tojgan	Texas Instruments	CC2652	Garage	zha			3623f49e8ab7a4ca96b44b3dff30d70a
